trial_id,seed,agent,hazard_mode,reliability,progress,target_global_step,observed_global_step,step_lag,choice,greedy_action,corridor_selected
recoverable_risky_corridor-expected_sarsa-s1-c402c0afb210,1,expected_sarsa,recoverable,0.81,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-c402c0afb210,1,expected_sarsa,recoverable,0.81,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-ceaa5d22b743,1,expected_sarsa,recoverable,0.805,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-ceaa5d22b743,1,expected_sarsa,recoverable,0.805,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-ceaa5d22b743,1,expected_sarsa,recoverable,0.805,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-ceaa5d22b743,1,expected_sarsa,recoverable,0.805,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-dd55933e1d43,1,expected_sarsa,recoverable,0.6,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-dd55933e1d43,1,expected_sarsa,recoverable,0.6,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-dd55933e1d43,1,expected_sarsa,recoverable,0.6,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-dd55933e1d43,1,expected_sarsa,recoverable,0.6,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-ff7e7ba2d98e,1,expected_sarsa,recoverable,0.82,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-ff7e7ba2d98e,1,expected_sarsa,recoverable,0.82,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-ff7e7ba2d98e,1,expected_sarsa,recoverable,0.82,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-ff7e7ba2d98e,1,expected_sarsa,recoverable,0.82,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-0408482e7451,10,expected_sarsa,recoverable,0.79,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-0408482e7451,10,expected_sarsa,recoverable,0.79,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-0408482e7451,10,expected_sarsa,recoverable,0.79,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-0408482e7451,10,expected_sarsa,recoverable,0.79,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-11ac2cd3f90a,10,expected_sarsa,recoverable,1,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-11ac2cd3f90a,10,expected_sarsa,recoverable,1,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-11ac2cd3f90a,10,expected_sarsa,recoverable,1,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-11ac2cd3f90a,10,expected_sarsa,recoverable,1,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-17e2e827e47f,10,expected_sarsa,recoverable,0.85,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-17e2e827e47f,10,expected_sarsa,recoverable,0.85,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-17e2e827e47f,10,expected_sarsa,recoverable,0.85,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-17e2e827e47f,10,expected_sarsa,recoverable,0.85,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-353a7e627767,10,expected_sarsa,recoverable,0.845,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-353a7e627767,10,expected_sarsa,recoverable,0.845,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-353a7e627767,10,expected_sarsa,recoverable,0.845,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-353a7e627767,10,expected_sarsa,recoverable,0.845,1,100000,100000,0,shelter,2,0
