trial_id,agent,seed,hazard_mode,reliability,evaluation_policy_mode,episode_return,success,failure,truncation,truncated_episodes,evaluation_episodes,total_episode_steps,hazard_penalty_steps,realized_corridor,penalty_steps_per_1000
lethal_risky_corridor-expected_sarsa-s11-46b06e925f2e,expected_sarsa,11,lethal,0.998,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s11-8112676fec06,expected_sarsa,11,lethal,0.98,behavior,7.1984,1,0,0,0,25,334,0,0,0
lethal_risky_corridor-expected_sarsa-s11-8112676fec06,expected_sarsa,11,lethal,0.98,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s11-815b4770c772,expected_sarsa,11,lethal,0.989,behavior,7.2008,1,0,0,0,25,333,0,0,0
lethal_risky_corridor-expected_sarsa-s11-815b4770c772,expected_sarsa,11,lethal,0.989,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s11-838feb697e72,expected_sarsa,11,lethal,0.99,behavior,7.1984,1,0,0,0,25,334,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-838feb697e72,expected_sarsa,11,lethal,0.99,greedy,7.2656,1,0,0,0,25,306,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-8816306b24c2,expected_sarsa,11,lethal,0.991,behavior,7.1984,1,0,0,0,25,334,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-8816306b24c2,expected_sarsa,11,lethal,0.991,greedy,7.2656,1,0,0,0,25,306,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-92ab7779a8a3,expected_sarsa,11,lethal,0.994,behavior,7.2008,1,0,0,0,25,333,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-92ab7779a8a3,expected_sarsa,11,lethal,0.994,greedy,7.2704,1,0,0,0,25,304,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-d198782b9dff,expected_sarsa,11,lethal,0.996,behavior,7.2056,1,0,0,0,25,331,0,0,0
lethal_risky_corridor-expected_sarsa-s11-d198782b9dff,expected_sarsa,11,lethal,0.996,greedy,7.2752,1,0,0,0,25,302,0,0,0
lethal_risky_corridor-expected_sarsa-s11-f6c325e558af,expected_sarsa,11,lethal,1,behavior,7.2128,1,0,0,0,25,328,0,0,0
lethal_risky_corridor-expected_sarsa-s11-f6c325e558af,expected_sarsa,11,lethal,1,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s12-0c8384a28b3f,expected_sarsa,12,lethal,1,behavior,7.1768,1,0,0,0,25,343,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-0c8384a28b3f,expected_sarsa,12,lethal,1,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s12-303015126f7d,expected_sarsa,12,lethal,0.988,behavior,7.1504,1,0,0,0,25,354,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-303015126f7d,expected_sarsa,12,lethal,0.988,greedy,7.2632,1,0,0,0,25,307,0,0,0
lethal_risky_corridor-expected_sarsa-s12-36d327ec4cb2,expected_sarsa,12,lethal,0.98,behavior,7.136,1,0,0,0,25,360,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-36d327ec4cb2,expected_sarsa,12,lethal,0.98,greedy,7.2512,1,0,0,0,25,312,0,0,0
lethal_risky_corridor-expected_sarsa-s12-41b27f1bcd32,expected_sarsa,12,lethal,0.991,behavior,7.148,1,0,0,0,25,355,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-41b27f1bcd32,expected_sarsa,12,lethal,0.991,greedy,7.2608,1,0,0,0,25,308,0,0,0
lethal_risky_corridor-expected_sarsa-s12-5414339900a8,expected_sarsa,12,lethal,0.986,behavior,7.1528,1,0,0,0,25,353,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-5414339900a8,expected_sarsa,12,lethal,0.986,greedy,7.2656,1,0,0,0,25,306,0,0,0
lethal_risky_corridor-expected_sarsa-s12-79797860f221,expected_sarsa,12,lethal,0.989,behavior,7.148,1,0,0,0,25,355,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-79797860f221,expected_sarsa,12,lethal,0.989,greedy,7.2608,1,0,0,0,25,308,0,0,0
lethal_risky_corridor-expected_sarsa-s12-885264f26858,expected_sarsa,12,lethal,0.994,behavior,7.1552,1,0,0,0,25,352,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-885264f26858,expected_sarsa,12,lethal,0.994,greedy,7.2704,1,0,0,0,25,304,0,0,0
lethal_risky_corridor-expected_sarsa-s12-8a0df7f32ccc,expected_sarsa,12,lethal,0.97,behavior,7.1168,1,0,0,0,25,368,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-8a0df7f32ccc,expected_sarsa,12,lethal,0.97,greedy,7.244,1,0,0,0,25,315,0,0,0
lethal_risky_corridor-expected_sarsa-s12-996e34a3e8dd,expected_sarsa,12,lethal,0.992,behavior,7.148,1,0,0,0,25,355,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-996e34a3e8dd,expected_sarsa,12,lethal,0.992,greedy,7.2608,1,0,0,0,25,308,0,0,0
lethal_risky_corridor-expected_sarsa-s12-9b5436198e21,expected_sarsa,12,lethal,0.998,behavior,7.1648,1,0,0,0,25,348,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-9b5436198e21,expected_sarsa,12,lethal,0.998,greedy,7.2752,1,0,0,0,25,302,0,0,0
lethal_risky_corridor-expected_sarsa-s12-b82df4f6bfb0,expected_sarsa,12,lethal,0.984,behavior,7.148,1,0,0,0,25,355,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-b82df4f6bfb0,expected_sarsa,12,lethal,0.984,greedy,7.2632,1,0,0,0,25,307,0,0,0
lethal_risky_corridor-expected_sarsa-s12-cede09d5afca,expected_sarsa,12,lethal,0.99,behavior,7.148,1,0,0,0,25,355,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-cede09d5afca,expected_sarsa,12,lethal,0.99,greedy,7.2608,1,0,0,0,25,308,0,0,0
lethal_risky_corridor-expected_sarsa-s12-d3a5815774d4,expected_sarsa,12,lethal,0.9895,behavior,7.148,1,0,0,0,25,355,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-d3a5815774d4,expected_sarsa,12,lethal,0.9895,greedy,7.2608,1,0,0,0,25,308,0,0,0
lethal_risky_corridor-expected_sarsa-s12-e9f59fb24af9,expected_sarsa,12,lethal,0.996,behavior,7.1624,1,0,0,0,25,349,0,0.04,0
lethal_risky_corridor-expected_sarsa-s12-e9f59fb24af9,expected_sarsa,12,lethal,0.996,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s13-08e60984b2de,expected_sarsa,13,lethal,0.984,behavior,7.184,1,0,0,0,25,340,0,0,0
lethal_risky_corridor-expected_sarsa-s13-08e60984b2de,expected_sarsa,13,lethal,0.984,greedy,7.2656,1,0,0,0,25,306,0,0,0
lethal_risky_corridor-expected_sarsa-s13-0c208d856933,expected_sarsa,13,lethal,1,behavior,6.5728,0.96,0.04,0,0,25,328,1,0.04,3.0487804878
lethal_risky_corridor-expected_sarsa-s13-0c208d856933,expected_sarsa,13,lethal,1,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s13-15a85e8413ee,expected_sarsa,13,lethal,0.97,behavior,7.1672,1,0,0,0,25,347,0,0,0
lethal_risky_corridor-expected_sarsa-s13-15a85e8413ee,expected_sarsa,13,lethal,0.97,greedy,7.2584,1,0,0,0,25,309,0,0,0
lethal_risky_corridor-expected_sarsa-s13-20784b5788e7,expected_sarsa,13,lethal,0.998,behavior,6.5728,0.96,0.04,0,0,25,328,1,0.04,3.0487804878
lethal_risky_corridor-expected_sarsa-s13-20784b5788e7,expected_sarsa,13,lethal,0.998,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s13-446d387cebdb,expected_sarsa,13,lethal,0.9895,behavior,7.184,1,0,0,0,25,340,0,0,0
lethal_risky_corridor-expected_sarsa-s13-446d387cebdb,expected_sarsa,13,lethal,0.9895,greedy,7.2728,1,0,0,0,25,303,0,0.04,0
lethal_risky_corridor-expected_sarsa-s13-672a4fe63b12,expected_sarsa,13,lethal,0.98,behavior,7.184,1,0,0,0,25,340,0,0,0
lethal_risky_corridor-expected_sarsa-s13-672a4fe63b12,expected_sarsa,13,lethal,0.98,greedy,7.2656,1,0,0,0,25,306,0,0,0
lethal_risky_corridor-expected_sarsa-s13-9ac32d629577,expected_sarsa,13,lethal,0.994,behavior,7.1816,1,0,0,0,25,341,0,0.04,0
lethal_risky_corridor-expected_sarsa-s13-9ac32d629577,expected_sarsa,13,lethal,0.994,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s13-b8c1d85cf13f,expected_sarsa,13,lethal,0.986,behavior,7.1864,1,0,0,0,25,339,0,0,0
lethal_risky_corridor-expected_sarsa-s13-b8c1d85cf13f,expected_sarsa,13,lethal,0.986,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s13-bd3b12ddef13,expected_sarsa,13,lethal,0.991,behavior,7.1816,1,0,0,0,25,341,0,0,0
lethal_risky_corridor-expected_sarsa-s13-bd3b12ddef13,expected_sarsa,13,lethal,0.991,greedy,7.2728,1,0,0,0,25,303,0,0.04,0
lethal_risky_corridor-expected_sarsa-s13-bfcf6fcb6575,expected_sarsa,13,lethal,0.996,behavior,7.1888,1,0,0,0,25,338,0,0.04,0
lethal_risky_corridor-expected_sarsa-s13-bfcf6fcb6575,expected_sarsa,13,lethal,0.996,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s13-c6d36881f584,expected_sarsa,13,lethal,0.988,behavior,7.1816,1,0,0,0,25,341,0,0,0
lethal_risky_corridor-expected_sarsa-s13-c6d36881f584,expected_sarsa,13,lethal,0.988,greedy,7.2704,1,0,0,0,25,304,0,0.04,0
lethal_risky_corridor-expected_sarsa-s13-d5bfafd5402a,expected_sarsa,13,lethal,0.992,behavior,7.1816,1,0,0,0,25,341,0,0,0
lethal_risky_corridor-expected_sarsa-s13-d5bfafd5402a,expected_sarsa,13,lethal,0.992,greedy,7.2728,1,0,0,0,25,303,0,0.04,0
lethal_risky_corridor-expected_sarsa-s13-f2a150265b39,expected_sarsa,13,lethal,0.99,behavior,7.184,1,0,0,0,25,340,0,0,0
lethal_risky_corridor-expected_sarsa-s13-f2a150265b39,expected_sarsa,13,lethal,0.99,greedy,7.2728,1,0,0,0,25,303,0,0.04,0
lethal_risky_corridor-expected_sarsa-s13-fa5c3d56dd7a,expected_sarsa,13,lethal,0.989,behavior,7.184,1,0,0,0,25,340,0,0,0
lethal_risky_corridor-expected_sarsa-s13-fa5c3d56dd7a,expected_sarsa,13,lethal,0.989,greedy,7.2728,1,0,0,0,25,303,0,0.04,0
lethal_risky_corridor-expected_sarsa-s14-0d0de4d6b4d5,expected_sarsa,14,lethal,1,behavior,7.1936,1,0,0,0,25,336,0,0,0
